NCM Code,NCM Description,Country,2022 - US$ FOB,2022 - Net Weight,2022 - Quantity,2021 - US$ FOB,2021 - Net Weight,2021 - Quantity,2020 - US$ FOB,2020 - Net Weight,2020 - Quantity,2019 - US$ FOB,2019 - Net Weight,2019 - Quantity,2018 - US$ FOB,2018 - Net Weight,2018 - Quantity,2017 - US$ FOB,2017 - Net Weight,2017 - Quantity,2016 - US$ FOB,2016 - Net Weight,2016 - Quantity,2015 - US$ FOB,2015 - Net Weight,2015 - Quantity,2014 - US$ FOB,2014 - Net Weight,2014 - Quantity,2013 - US$ FOB,2013 - Net Weight,2013 - Quantity,2012 - US$ FOB,2012 - Net Weight,2012 - Quantity,2011 - US$ FOB,2011 - Net Weight,2011 - Quantity,2010 - US$ FOB,2010 - Net Weight,2010 - Quantity,2009 - US$ FOB,2009 - Net Weight,2009 - Quantity,2008 - US$ FOB,2008 - Net Weight,2008 - Quantity,2007 - US$ FOB,2007 - Net Weight,2007 - Quantity,2006 - US$ FOB,2006 - Net Weight,2006 - Quantity,2005 - US$ FOB,2005 - Net Weight,2005 - Quantity,2004 - US$ FOB,2004 - Net Weight,2004 - Quantity,2003 - US$ FOB,2003 - Net Weight,2003 - Quantity,2002 - US$ FOB,2002 - Net Weight,2002 - Quantity,2001 - US$ FOB,2001 - Net Weight,2001 - Quantity,2000 - US$ FOB,2000 - Net Weight,2000 - Quantity
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Paraguay,7156293,5076670,4905299,7181667,6514747,5423904,3868483,3298667,3203042,4008721,2531478,2567396,5490247,3232486,3239950,4254738,2379863,2356505,1632193,957838,922722,727043,480991,469860,849201,469732,456770,596736,380171,359462,353503,264583,256363,181113,136618,117534,449197,510989,471827,249250,281038,249834,1251610,2016253,1890641,604307,997396,868195,743922,1734459,1685269,606072,1788648,1696366,605113,1727762,1718786,245871,675790,665967,722493,1635350,2035776,1100645,2437964,2332047,487088,789054,684659
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Uruguay,997367,637117,636592,149842,136774,136774,0,0,0,18496,6188,7847,28832,7780,5820,0,0,0,0,0,0,0,0,0,0,0,0,13343,1526,1106,3879,1135,1158,4404,1238,1238,2929,914,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,1296,1296,4120,6450,1250,3398,13290,12080,3270,6689,3541,11002,16201,14656
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Haiti,741014,553503,576904,831181,670379,676065,471153,399128,397690,129803,81873,81873,144425,79500,79500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,2700,2700,5863,4500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",China,400818,104247,96902,261002,60322,60185,360693,121512,122177,387121,132672,131358,126121,30830,30189,266087,67594,68738,493622,133626,124650,221666,47519,42224,455340,64040,56259,279731,39671,39641,642163,87890,89251,333386,53995,53781,2358,795,464,86400,239800,240000,25926,8689,8739,30390,7638,75138,0,0,0,0,0,0,1118,404,405,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",United States,381754,179894,177581,195691,106984,103220,493164,231292,224557,556213,177512,178654,462131,140492,140785,1487701,111102,108449,627425,213901,199213,480279,169076,149867,378072,152564,152541,671653,185116,176653,214418,100606,98214,811025,229378,86901,478630,228968,84291,625956,342693,121214,769013,409864,174444,744526,420029,152505,540549,337730,102107,491726,254909,134365,276011,81564,56187,71850,25398,15566,19639,6700,4415,7972,3576,3120,3665,1761,1064
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",United Kingdom,135578,18185,17406,120693,24427,24308,78545,18729,18674,161601,32631,32381,296575,67752,67076,241804,60693,114693,535720,116973,110045,308407,68382,107631,1373747,305807,295838,305005,59161,51052,334856,82937,77929,285642,122629,75213,295690,123624,75612,68788,30092,16560,155076,100097,56804,133915,61913,40149,34922,14088,7346,26445,6174,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Russia,118618,66046,87721,312926,181931,242574,8550,1463,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711814,863220,857220,173160,266400,266400,131144,214200,214200,71988,177600,177600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",United Arab Emirates,85429,4770,4770,10522,810,810,2280,581,581,2202,450,450,1762,360,360,3302,675,1800,2760,585,410,3740,765,765,3381,640,447,0,0,0,3300,675,675,6594,2120,1175,3206,1035,527,4032,1398,756,12298,2437,1134,0,0,0,1446,363,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Japan,80154,36539,35835,88199,38505,37781,90746,34936,34855,93892,36945,36921,108058,34573,34854,91386,33109,33116,90954,34341,34174,82903,28397,28409,391353,100746,100746,424751,89588,87017,113955,26941,25759,48398,22835,15823,74628,112178,112210,185464,87544,65829,51098,36736,36000,47156,38441,37500,60301,40890,39894,41249,35940,36836,36915,28623,18595,31505,33060,33060,48292,34545,32270,40010,32073,27569,63943,49306,46158
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Curaçao,66950,40673,40607,58993,32263,32558,65987,47965,47920,62069,33959,33933,43678,23933,23978,23011,12342,12342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
