NCM Code,NCM Description,Country,2022 - US$ FOB,2022 - Net Weight,2022 - Quantity,2021 - US$ FOB,2021 - Net Weight,2021 - Quantity,2020 - US$ FOB,2020 - Net Weight,2020 - Quantity,2019 - US$ FOB,2019 - Net Weight,2019 - Quantity,2018 - US$ FOB,2018 - Net Weight,2018 - Quantity,2017 - US$ FOB,2017 - Net Weight,2017 - Quantity,2016 - US$ FOB,2016 - Net Weight,2016 - Quantity,2015 - US$ FOB,2015 - Net Weight,2015 - Quantity,2014 - US$ FOB,2014 - Net Weight,2014 - Quantity,2013 - US$ FOB,2013 - Net Weight,2013 - Quantity,2012 - US$ FOB,2012 - Net Weight,2012 - Quantity,2011 - US$ FOB,2011 - Net Weight,2011 - Quantity,2010 - US$ FOB,2010 - Net Weight,2010 - Quantity,2009 - US$ FOB,2009 - Net Weight,2009 - Quantity,2008 - US$ FOB,2008 - Net Weight,2008 - Quantity,2007 - US$ FOB,2007 - Net Weight,2007 - Quantity,2006 - US$ FOB,2006 - Net Weight,2006 - Quantity,2005 - US$ FOB,2005 - Net Weight,2005 - Quantity,2004 - US$ FOB,2004 - Net Weight,2004 - Quantity,2003 - US$ FOB,2003 - Net Weight,2003 - Quantity,2002 - US$ FOB,2002 - Net Weight,2002 - Quantity,2001 - US$ FOB,2001 - Net Weight,2001 - Quantity,2000 - US$ FOB,2000 - Net Weight,2000 - Quantity
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Chile,183872253,68691545,68269821,182064827,69426596,69098409,176225487,72589673,72973630,145033687,52495270,65873595,144414999,50947102,50872801,145486092,51249607,51173401,123135752,43371091,43321170,107602977,36638650,36624304,113367017,35478943,35427176,90252108,28279419,28235535,92985139,29971604,29933372,84920212,26632696,26483865,72983386,26434736,25881785,61378295,22476380,21913686,50740266,18661910,18092106,47195201,18743442,18215898,36126725,15002245,14481045,25112534,11339544,10999944,21982985,10681599,10234941,15760528,7711591,7467177,11511538,6164874,5943154,11030080,5126603,4872393,12115558,5603463,5370844
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Argentina,87381601,27933534,27897816,79383437,26753452,26707668,66287662,22588951,22578666,54511669,16534209,16496502,52817653,15221288,15219993,51722763,15427900,15398052,45214862,14098009,14024812,48035042,12454777,12419635,53802277,13436432,13400211,49524267,12732699,12678013,55595444,14590177,14476805,58802211,16673319,16621365,52126558,16965247,16966165,38521725,13902723,13864053,37354791,14407088,14272188,35658424,15512422,15421093,25289490,11821164,11686495,21363095,10741010,10566112,17049751,10184467,36839828,9618689,5713298,5547057,6884837,3865668,3810130,6196286,2585533,2569979,6563482,2744752,2674564
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Portugal,63236403,22876486,22890727,74003563,24722053,24764093,64971926,22603080,22729119,50586422,17513524,17418098,52155492,16828431,16871217,44147323,15525865,15550756,29081010,10403286,10417105,32215909,9756448,10228361,36778618,9494316,9485511,35143788,8678027,13559710,35630480,9209866,9159199,34924820,8295826,8270350,29299810,7801687,7785285,23423713,5743381,5733273,23626766,6098494,6051705,22995880,6562226,6555547,18070690,5750018,5757488,13989493,4956060,4934256,11520870,4037025,3885061,9271230,3242574,3182583,8140982,2944286,2930366,13031121,5042097,4926495,12297730,4865762,4819112
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Italy,33251422,9608846,9631968,39782990,11218717,11200963,32409454,9650073,9653192,33192499,10291469,10292280,34736218,10116053,10312840,33639968,11443975,11439051,22150361,7910916,7898717,25743361,8214365,8195187,31462332,8396760,8322401,30331065,7892056,7810459,29979219,9382532,9313322,35428725,12005189,11955682,28683201,11911144,11897606,23058707,8377796,8356877,24363564,9721958,9666511,21662525,9122342,9115179,16612606,7903191,7922326,10870590,5800460,5752708,11624522,5787433,5777300,10013203,4866750,4838061,11141504,5772587,5730455,15317096,8047239,7922922,15719079,8136415,8023276
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",France,25927261,4909423,4948569,31405995,6236730,6198485,24856759,5654218,5628662,24301548,5328081,5326131,22653128,4634848,4631628,25247665,6092630,5914458,15901067,3825834,3744246,19306829,3608273,3564216,27469875,3591668,3555537,23274285,3248753,3109113,21618122,3177087,3094559,22907900,3326731,3171606,18759295,2799049,2684083,16892152,2372364,2271418,16221479,2461912,2391734,14211306,2657840,2564806,9863146,2447105,2401671,5259411,1573835,1534007,5698655,2015134,1916041,5716110,1880978,1760225,5199072,2268560,2137587,7305015,3020062,2982641,7288729,3255728,3195003
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Spain,17099264,6430673,6420033,23739157,8759075,8753793,19782666,7165044,7134421,17069645,5786023,5788765,19335392,5583570,5654464,19825305,6525693,6518597,12220065,3948389,3924733,11387212,3023309,3109366,12749159,2755972,2744085,13541605,2764177,2747315,11655263,2529634,2495984,11123017,1969128,1965321,8698824,1622085,1591621,6219618,1116640,1097945,6024300,990112,974915,4299986,827463,818417,4064724,929217,918729,2303086,466875,465895,2018704,583511,572109,1634275,380133,370791,1434895,426873,413004,2122203,572219,559526,1555325,487043,503160
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Uruguay,9823664,3365865,3353956,10024169,3749525,3741739,10085362,4025163,4024943,7887629,2747363,2742772,8355159,2758390,2760051,7684495,2951619,2931932,5037445,2175756,2217011,3980822,1345485,1346300,3726932,1203643,1201837,3669767,1326962,1293311,3707090,1302285,1300058,3467152,1253506,1253283,3175051,1219386,1219386,1943467,741042,737844,2089537,920388,878436,3127491,2386210,2365786,1428184,713110,691469,922765,512427,473185,1042176,645680,589168,1578991,1082066,1040137,2082552,1247891,1247892,3122693,1668697,1681617,3641734,1976133,1885963
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",United States,3022090,393208,393214,2807493,506399,491943,2119233,366577,366001,2400826,534850,529816,2584775,543921,541155,4110642,1141216,1147224,2924715,725420,721368,3848764,775128,759888,4166039,784907,773076,2816750,518877,518727,1995501,379323,379730,1756898,369802,363746,1344925,194771,193072,702827,85391,85414,542330,65956,65933,316646,77420,77513,306248,56947,56969,211996,49414,49251,231825,77285,65750,433268,172608,137076,325837,137163,131219,1022983,374335,354664,796317,409964,377297
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",South Africa,2266827,738116,707682,2508140,859169,837958,1701072,627148,586618,3601844,1091736,1088676,3537308,1111985,1106709,3213067,1126913,1123622,1686226,578829,578816,2996550,743297,743597,3033927,722705,717151,1963781,461234,441302,3026993,712925,695467,2135896,507504,502031,3600657,966271,931884,1931446,493092,488701,1151696,315378,306246,1274705,367892,357144,1087588,329482,309300,708065,380161,326539,604487,280258,243380,300244,155314,128403,106317,32194,34241,99200,42661,42120,49882,15768,16802
22042100,"Other wine, grape must, fermen.alcohol containers<=2l",Australia,1590059,579279,566782,1383093,366875,341595,792051,212595,205494,1214648,348287,314191,1567780,513988,463799,1246545,351713,327236,1537835,498515,491909,1261813,395027,335389,1008850,236740,229802,1703815,553188,348488,2464001,612199,460965,2789392,819037,639365,1862384,405156,339389,998677,270910,213019,1247225,214997,196144,1325355,304234,284907,875481,212468,193905,772235,278793,227744,461737,161763,145373,344311,126439,111122,405392,135462,128764,569925,161069,150184,354762,111579,112701
